id;item_id;qty;amount;item_info;store_id;discount;service_charge;order_status;payment_status;invoice_ids;invoice_info;due_amount
1;function;72110;24236;Card Practical hacking;paradigms;15279;60658;PENDING;PAID;AI haptic regional;driver;21046
2;Dollar SCSI Martinique;1455;42907;Legacy California;turn-key;51859;36754;DISPATCHED;HALF_PAID;client-driven Bedfordshire;Specialist multi-byte;17114
3;Outdoors;63792;72098;Outdoors JBOD;services empower Dynamic;58954;90947;COMPLETED;PENDING;Consultant;improvement action-items;26479
4;Gloves Personal fuchsia;57933;30251;frictionless networks;haptic Sports Sausages;26290;55989;PAID;PENDING;Loan Minnesota Buckinghamshire;Borders online ADP;4444
5;driver local;77691;62182;Loan;Intelligent;46507;80873;CREATED;PENDING;Gambia Branding;Leu Florida Granite;76640
6;matrix;15302;46657;Vista;deposit;20486;29213;CREATED;PAID;EXE;Berkshire index;25383
7;Global Streamlined;98150;91269;Timor-Leste Central;synergistic context-sensitive Communications;70979;78599;PENDING;PENDING;Automotive Up-sized Rustic;Money;80171
8;Engineer Bedfordshire;17632;7999;Persevering compressing Rubber;Associate generate;77193;57907;DELIVERD;PAID;transmitter up Dynamic;Lead;66108
9;parsing white;56047;55551;Account Home system;Forward Michigan Avon;79235;87599;PENDING;PENDING;RAM integrated Oregon;Divide;26748
10;generate;97603;29374;primary;Account;18785;16649;PENDING;HALF_PAID;Tanzania Intranet;e-tailers monitoring open-source;50200
